Follower	Followee	Weight
8650	9232	1.0
8650	805	1.0
4166	3747	1.0
4166	8765	1.0
4166	5727	1.0
1987	6378	1.0
4887	9422	1.0
4887	6342	1.0
9862	6359	1.0
2855	8809	1.0
10008	5727	1.0
10007	2039	1.0
7440	6340	1.0
7440	4829	1.0
7440	8582	1.0
1297	783	1.0
1297	6193	1.0
1297	1722	1.0
1297	2307	1.0
1297	3848	1.0
1297	1559	1.0
1297	5064	1.0
1297	2213	1.0
1297	4946	1.0
1297	6505	1.0
1297	8450	1.0
1297	3489	1.0
1297	8941	1.0
1297	4221	1.0
1297	656	1.0
1297	2719	1.0
1297	9569	1.0
1297	3771	1.0
1297	758	1.0
1297	1287	1.0
1297	8827	1.0
1297	2602	1.0
6298	5297	1.0
505	930	1.0
7441	5021	1.0
7441	2356	1.0
7441	8481	1.0
5917	10363	1.0
5917	6007	1.0
5918	2401	1.0
5918	9707	1.0
4167	1057	1.0
4168	6526	1.0
4168	4304	1.0
4168	6249	1.0
4168	4810	1.0
4168	1566	1.0
4168	8232	1.0
4168	4157	1.0
3934	1879	1.0
6197	8271	1.0
7444	8571	1.0
4169	8979	1.0
8651	6947	1.0
5011	1635	1.0
5011	5118	1.0
5011	574	1.0
1989	3189	1.0
1989	6580	1.0
4170	6405	1.0
8652	615	1.0
8652	8604	1.0
8652	8656	1.0
3874	5469	1.0
4171	1265	1.0
4171	2282	1.0
1127	5689	1.0
3875	760	1.0
3875	3439	1.0
6979	7870	1.0
8655	5919	1.0
8655	5163	1.0
8655	734	1.0
8655	10206	1.0
8655	5727	1.0
8655	1465	1.0
4172	578	1.0
1991	1069	1.0
1991	6410	1.0
1991	10275	1.0
1991	8534	1.0
1991	2990	1.0
5921	4304	1.0
5921	5370	1.0
4173	4446	1.0
4173	4820	1.0
1992	1150	1.0
1992	3785	1.0
1988	8002	1.0
1988	239	1.0
1988	7420	1.0
1988	8353	1.0
1988	1098	1.0
1993	4745	1.0
1993	9647	1.0
5676	6172	1.0
5676	1762	1.0
5676	2272	1.0
5676	5515	1.0
5429	4686	1.0
5429	8535	1.0
5429	8426	1.0
9535	6776	1.0
1994	8079	1.0
1994	5915	1.0
1995	2671	1.0
3876	1848	1.0
4174	3634	1.0
4174	1895	1.0
4174	973	1.0
593	6050	1.0
4960	9213	1.0
245	246	1.0
4175	984	1.0
4176	6963	1.0
4176	5747	1.0
4176	5446	1.0
7446	4526	1.0
7446	8769	1.0
10360	9606	1.0
5922	2881	1.0
7448	10138	1.0
5923	9520	1.0
8656	5859	1.0
8656	5727	1.0
8656	734	1.0
4177	9505	1.0
4178	7800	1.0
1997	2511	1.0
7449	6892	1.0
7449	3817	1.0
7449	983	1.0
7449	7279	1.0
7449	9677	1.0
5924	4272	1.0
5924	4445	1.0
4180	8899	1.0
9536	6614	1.0
1998	7956	1.0
1998	7219	1.0
4181	8208	1.0
4181	7319	1.0
4181	2659	1.0
4181	2439	1.0
7452	3418	1.0
5925	2986	1.0
8657	926	1.0
8657	2272	1.0
8657	5167	1.0
8657	4713	1.0
1999	3638	1.0
5927	7987	1.0
7453	8258	1.0
7454	7257	1.0
7454	2354	1.0
7454	5867	1.0
7454	3944	1.0
7454	6359	1.0
2000	5236	1.0
8658	7723	1.0
8659	4418	1.0
8659	2371	1.0
8659	4102	1.0
8659	4295	1.0
8659	3995	1.0
8659	6324	1.0
8659	2780	1.0
8659	7312	1.0
8659	8165	1.0
8659	4105	1.0
8659	6193	1.0
8659	4015	1.0
8659	8963	1.0
8659	10516	1.0
8659	4291	1.0
8659	9008	1.0
8659	8463	1.0
8659	9583	1.0
8659	7746	1.0
